name,namespace,description,created_at,updated_at,url,homepage,rm,archive,lab_project,personal_project,workshops_and_colearning,methods,meta_lab,is_package,uses_targets
try-binder,robitalec,"Learning to use Binder + holepunch

https://mybinder.org/
https://karthik.github.io/holepunch/index.html",2020-07-29T15:23:04.269Z,2023-12-12T18:27:02.508Z,https://gitlab.com/robitalec/try-binder.git,https://gitlab.com/robitalec/try-binder,,,,,,TRUE,,,
some-reproducibility-example,robitalec,"Example project for Some Reproducibility workshop, split off into separate repository for Binder",2020-08-03T16:08:31.008Z,2023-12-08T09:50:28.118Z,https://gitlab.com/robitalec/some-reproducibility-example.git,https://gitlab.com/robitalec/some-reproducibility-example,,,,,TRUE,,,,
carpentries-training-sept-2020,robitalec,,2020-09-10T16:58:20.483Z,2023-12-13T02:04:48.951Z,https://gitlab.com/robitalec/carpentries-training-sept-2020.git,https://gitlab.com/robitalec/carpentries-training-sept-2020,,,,,TRUE,,,,
move,robitalec,,2020-09-24T17:15:31.564Z,2024-01-20T14:29:01.601Z,https://gitlab.com/robitalec/move.git,https://gitlab.com/robitalec/move,,,,TRUE,,,,,
try-targets,robitalec,"Learn the `targets` and `tarchetypes` packages

https://wlandau.github.io/targets/
https://wlandau.github.io/tarchetypes",2020-10-20T16:55:13.517Z,2024-01-20T02:03:35.964Z,https://gitlab.com/robitalec/try-targets.git,https://gitlab.com/robitalec/try-targets,,,,,,TRUE,,,TRUE
TrackingSnowmelt,wildlifeevoeco,":notebook: Repository for Laforge, Bonar & Vander Wal: Tracking snowmelt to jump the green wave: Phenological drivers of migration in a northern ungulate. Ecology.",2020-10-27T21:12:47Z,2021-09-20T13:32:54Z,https://github.com/wildlifeevoeco/TrackingSnowmelt,,,,TRUE,,,,,,
try-lit-search,robitalec,Learning to lit search in R,2020-11-19T22:56:51.955Z,2023-12-07T19:57:14.668Z,https://gitlab.com/robitalec/try-lit-search.git,https://gitlab.com/robitalec/try-lit-search,,,,,,TRUE,,,
Seasonality,WEEL_grp,GAMs and derivatives to find seasons,2020-11-30T03:31:00.441Z,2023-12-08T09:24:31.302Z,https://gitlab.com/WEEL_grp/seasonality.git,https://gitlab.com/WEEL_grp/seasonality,,,TRUE,,,,,,
compare-moose-rsf-survey,robitalec,,2020-12-18T17:29:21.620Z,2023-12-08T03:16:47.539Z,https://gitlab.com/robitalec/compare-moose-rsf-survey.git,https://gitlab.com/robitalec/compare-moose-rsf-survey,,,,,,TRUE,,,
targets-parameterized-bookdown,robitalec,"Example repository for rendering a bookdown book, compiling parameterized RMarkdown documents, using the targets package",2021-01-07T00:30:09.983Z,2024-01-11T01:28:58.159Z,https://gitlab.com/robitalec/targets-parameterized-bookdown.git,https://gitlab.com/robitalec/targets-parameterized-bookdown,,,,,,TRUE,,,TRUE
phd-manuscript,robitalec,,2021-01-08T22:53:01.364Z,2023-12-08T01:59:51.064Z,https://gitlab.com/robitalec/phd-manuscript.git,https://gitlab.com/robitalec/phd-manuscript,,,,TRUE,,,,,TRUE
socprod-extraction,robitalec,,2021-01-10T04:43:41.010Z,2024-05-21T15:29:44.147Z,https://gitlab.com/robitalec/socprod-extraction.git,https://gitlab.com/robitalec/socprod-extraction,,,,TRUE,,,,,TRUE
try-tesseract,robitalec,Reading text from images with the tesseract package!,2021-01-11T20:07:42.173Z,2024-01-20T00:57:58.618Z,https://gitlab.com/robitalec/try-tesseract.git,https://gitlab.com/robitalec/try-tesseract,,,,,,TRUE,,,
drought-sensitivity-refugia,robitalec,,2021-01-22T06:20:01.028Z,2024-06-03T13:36:01.348Z,https://gitlab.com/robitalec/drought-sensitivity-refugia.git,https://gitlab.com/robitalec/drought-sensitivity-refugia,,,,TRUE,,,,,TRUE
parsing-spatial-from-social-networks,robitalec,,2021-02-03T20:08:25.265Z,2024-01-20T01:44:43.671Z,https://gitlab.com/robitalec/parsing-spatial-from-social-networks.git,https://gitlab.com/robitalec/parsing-spatial-from-social-networks,,,,,,TRUE,,,TRUE
CaribouSwimming,wildlifeevoeco,:notebook: On the marginal value of swimming in woodland caribou,2021-02-22T18:52:42Z,2021-08-10T02:51:15Z,https://github.com/wildlifeevoeco/CaribouSwimming,https://doi.org/10.1002/ecy.3491,,,TRUE,,,,,,
hare-repro-tradeoffs,WEEL_grp,,2021-03-12T03:00:42.309Z,2024-01-20T20:02:10.377Z,https://gitlab.com/WEEL_grp/hare-repro-tradeoffs.git,https://gitlab.com/WEEL_grp/hare-repro-tradeoffs,,,TRUE,,,,,,
move-book,robitalec,:hammer_and_wrench:  Movebank dataset summarizer pipeline using targets and bookdown,2021-03-18T03:02:36Z,2023-04-19T17:43:32Z,https://github.com/robitalec/move-book,https://robitalec.github.io/move-book,,,,TRUE,,TRUE,,,
targets-spatsoc-networks,robitalec,":hammer_and_wrench: Example repository for generating networks using spatsoc, with a targets workflow",2021-03-20T03:41:05.371Z,2024-01-16T07:12:58.000Z,https://gitlab.com/robitalec/targets-spatsoc-networks.git,https://gitlab.com/robitalec/targets-spatsoc-networks,,,,,,TRUE,,,TRUE
